,SK_ID_CURR
0,100008.0
1,100012.0
2,100082.0
3,100101.0
4,100120.0
5,100134.0
6,100136.0
7,100142.0
8,100144.0
9,100154.0
10,100159.0
11,100162.0
12,100204.0
13,100206.0
14,100216.0
15,100224.0
16,100233.0
17,100266.0
18,100269.0
19,100277.0
20,100284.0
21,100285.0
22,100297.0
23,100298.0
24,100315.0
25,100317.0
26,100318.0
27,100334.0
28,100340.0
29,100343.0
30,100349.0
31,100360.0
32,100370.0
33,100392.0
34,100394.0
35,100409.0
36,100411.0
37,100451.0
38,100459.0
39,100461.0
40,100477.0
41,100480.0
42,100499.0
43,100500.0
44,100511.0
45,100534.0
46,100538.0
47,100549.0
48,100554.0
49,100562.0
50,100563.0
51,100590.0
52,100600.0
53,100623.0
54,100624.0
55,100633.0
56,100637.0
57,100639.0
58,100640.0
59,100641.0
60,100644.0
61,100647.0
62,100650.0
63,100663.0
64,100668.0
65,100676.0
66,100681.0
67,100682.0
68,100696.0
69,100698.0
70,100713.0
71,100732.0
72,100733.0
73,100743.0
74,100776.0
75,100782.0
76,100784.0
77,100790.0
78,100793.0
79,100809.0
80,100817.0
81,100828.0
82,100841.0
83,100862.0
84,100867.0
85,100884.0
86,100900.0
87,100905.0
88,100927.0
89,100932.0
90,100933.0
91,100940.0
92,100958.0
93,100959.0
94,100973.0
95,100975.0
96,100990.0
97,101003.0
98,101016.0
99,101029.0
100,101038.0
101,101039.0
102,101059.0
103,101061.0
104,101065.0
105,101116.0
106,101122.0
107,101127.0
108,101150.0
109,101154.0
110,101156.0
111,101170.0
112,101184.0
113,101207.0
114,101224.0
115,101245.0
116,101246.0
117,101256.0
118,101264.0
119,101273.0
120,101283.0
121,101290.0
122,101315.0
123,101326.0
124,101340.0
125,101344.0
126,101349.0
127,101358.0
128,101373.0
129,101402.0
130,101411.0
131,101425.0
132,101445.0
133,101458.0
134,101461.0
135,101466.0
136,101474.0
137,101477.0
138,101488.0
139,101510.0
140,101521.0
141,101528.0
142,101529.0
143,101532.0
144,101533.0
145,101534.0
146,101574.0
147,101576.0
148,101607.0
149,101617.0
150,101618.0
151,101622.0
152,101623.0
153,101635.0
154,101657.0
155,101659.0
156,101671.0
157,101677.0
158,101679.0
159,101698.0
160,101707.0
161,101709.0
162,101712.0
163,101739.0
164,101740.0
165,101749.0
166,101754.0
167,101756.0
168,101783.0
169,101808.0
170,101809.0
171,101836.0
172,101848.0
173,101862.0
174,101872.0
175,101874.0
176,101876.0
177,101877.0
178,101891.0
179,101912.0
180,101915.0
181,101916.0
182,101925.0
183,101929.0
184,101934.0
185,101939.0
186,101944.0
187,101952.0
188,101978.0
189,101985.0
190,101997.0
191,102003.0
192,102009.0
193,102027.0
194,102032.0
195,102038.0
196,102041.0
197,102045.0
198,102066.0
199,102089.0
200,102101.0
201,102115.0
202,102148.0
203,102156.0
204,102176.0
205,102192.0
206,102202.0
207,102219.0
208,102225.0
209,102244.0
210,102246.0
211,102274.0
212,102277.0
213,102291.0
214,102292.0
215,102338.0
216,102343.0
217,102379.0
218,102405.0
219,102419.0
220,102420.0
221,102424.0
222,102428.0
223,102438.0
224,102440.0
225,102462.0
226,102478.0
227,102483.0
228,102485.0
229,102490.0
230,102491.0
231,102493.0
232,102502.0
233,102514.0
234,102520.0
235,102524.0
236,102527.0
237,102530.0
238,102534.0
239,102535.0
240,102538.0
241,102565.0
242,102577.0
243,102590.0
244,102622.0
245,102628.0
246,102636.0
247,102637.0
248,102638.0
249,102641.0
250,102661.0
251,102663.0
252,102665.0
253,102695.0
254,102705.0
255,102723.0
256,102724.0
257,102764.0
258,102807.0
259,102810.0
260,102817.0
261,102818.0
262,102819.0
263,102820.0
264,102830.0
265,102832.0
266,102834.0
267,102851.0
268,102909.0
269,102911.0
270,102915.0
271,102947.0
272,102954.0
273,102967.0
274,102983.0
275,102988.0
276,102994.0
277,102997.0
278,103043.0
279,103052.0
280,103067.0
281,103068.0
282,103120.0
283,103121.0
284,103138.0
285,103140.0
286,103151.0
287,103183.0
288,103194.0
289,103213.0
290,103237.0
291,103262.0
292,103269.0
293,103275.0
294,103283.0
295,103289.0
296,103301.0
297,103306.0
298,103323.0
299,103337.0
300,103349.0
301,103352.0
302,103365.0
303,103381.0
304,103382.0
305,103386.0
306,103387.0
307,103405.0
308,103415.0
309,103439.0
310,103455.0
311,103457.0
312,103466.0
313,103468.0
314,103505.0
315,103521.0
316,103526.0
317,103533.0
318,103535.0
319,103554.0
320,103556.0
321,103558.0
322,103563.0
323,103564.0
324,103573.0
325,103587.0
326,103630.0
327,103642.0
328,103643.0
329,103650.0
330,103661.0
331,103675.0
332,103694.0
333,103702.0
334,103710.0
335,103717.0
336,103723.0
337,103739.0
338,103741.0
339,103757.0
340,103761.0
341,103764.0
342,103766.0
343,103772.0
344,103780.0
345,103794.0
346,103802.0
347,103804.0
348,103825.0
349,103833.0
350,103835.0
351,103836.0
352,103841.0
353,103843.0
354,103869.0
355,103882.0
356,103883.0
357,103886.0
358,103888.0
359,103909.0
360,103912.0
361,103948.0
362,103970.0
363,104000.0
364,104004.0
365,104006.0
366,104008.0
367,104020.0
368,104041.0
369,104053.0
370,104057.0
371,104060.0
372,104071.0
373,104088.0
374,104102.0
375,104141.0
376,104142.0
377,104145.0
378,104147.0
379,104203.0
380,104212.0
381,104214.0
382,104221.0
383,104224.0
384,104228.0
385,104236.0
386,104238.0
387,104254.0
388,104262.0
389,104286.0
390,104292.0
391,104347.0
392,104360.0
393,104371.0
394,104399.0
395,104406.0
396,104428.0
397,104447.0
398,104449.0
399,104484.0
400,104487.0
401,104491.0
402,104495.0
403,104500.0
404,104503.0
405,104507.0
406,104515.0
407,104532.0
408,104537.0
409,104547.0
410,104550.0
411,104558.0
412,104586.0
413,104593.0
414,104597.0
415,104629.0
416,104643.0
417,104659.0
418,104684.0
419,104713.0
420,104726.0
421,104731.0
422,104746.0
423,104783.0
424,104788.0
425,104793.0
426,104804.0
427,104826.0
428,104829.0
429,104845.0
430,104852.0
431,104858.0
432,104867.0
433,104876.0
434,104884.0
435,104898.0
436,104915.0
437,104924.0
438,104925.0
439,104934.0
440,104946.0
441,104951.0
442,104958.0
443,104994.0
444,104999.0
445,105014.0
446,105029.0
447,105070.0
448,105075.0
449,105095.0
450,105098.0
451,105102.0
452,105118.0
453,105124.0
454,105126.0
455,105130.0
456,105133.0
457,105143.0
458,105160.0
459,105170.0
460,105187.0
461,105202.0
462,105233.0
463,105267.0
464,105277.0
465,105278.0
466,105279.0
467,105285.0
468,105303.0
469,105316.0
470,105335.0
471,105340.0
472,105347.0
473,105348.0
474,105354.0
475,105363.0
476,105372.0
477,105376.0
478,105384.0
479,105395.0
480,105405.0
481,105416.0
