,Feature,Importance,Credit Score,Credit Granted?
0,EXT_SOURCE_3,0.07,0.5462192006742118,Yes
1,PREV_CODE_REJECT_REASON_HC_MEAN,0.06,0.5462192006742118,Yes
2,EXT_SOURCE_2,0.03,0.5462192006742118,Yes
3,DEF_60_CNT_SOCIAL_CIRCLE,0.02,0.5462192006742118,Yes
4,PREV_CODE_REJECT_REASON_SCOFR_MEAN,0.02,0.5462192006742118,Yes
5,DEF_30_CNT_SOCIAL_CIRCLE,0.02,0.5462192006742118,Yes
6,APPROVED_AMT_ANNUITY_MAX,0.02,0.5462192006742118,Yes
7,INSTAL_DAYS_ENTRY_PAYMENT_MAX,0.02,0.5462192006742118,Yes
8,FLAG_DOCUMENT_3,0.02,0.5462192006742118,Yes
9,DAYS_EMPLOYED,0.02,0.5462192006742118,Yes
